LED 4
1) 0xc21b3e36 0
2) 0xcf5a2b37 1
3) 0x15354403 1
4) 0xd26ad6f9 1
5) 0xca01fd08 0
6) 0xa35e98c4 0
7) 0x29a60741 1 
8) 0x4e87e54c 0
9) 0x9408ef23 1
10) 0x20be40d5 1
11) 0x69a9cf4a 0
12) 0x85ede754 0
13) 0x3317c1f2 0
14) 0x2168a352 0
15) 0x260aef21 1
16) 0x07f0448a 0
17) 0x2541d075 1
18) 0x76734823 1
19) 0xcff32ad1 1
20) 0x585c380e 0
21) 0x36333ec1 1
22) 0x81d69c43 1
23) 0x0212a865 1
24) 0xfd891162 0
25) 0xcb10bec9 1
26) 0xa0569992 0
27) 0x85dbd460 0
28) 0x465a049b 1
29) 0x2f0b741f 1
30) 0xab386ec3 1
32) 0xcebb7b66 0
33) 0x5c4fe5df 1
